ua,nl_correct,nl_wrong1,nl_wrong2
зірка,het sterje,de rivier,het afval
нещасний випадок,het ongeluk,de tuin,het klokje
острів,de eiland,het nummer,de fabriek
трамвай,de tram,de kantoor,de keuken
хліб,het brood,de stoel,het vrouwje
кухар,de kok,de ziekenhuis,het zondagje
стілець,het stoelje,de portemonnee,het oor
нічівля,het nachtje,het bedrijf,het vaderje
трохи молока,het melkje,het bot,het stoelje
кошеня,het katje,de auto,het zusje
школа,de school,het bedje,het klimaat
погода,het weer,de buurvrouw,de dinsdag
небо,de hemel,het donderdagje,de donderdag
туалет,het wcje,het huis,het nieuws
сміття,het afval,de man,het centrum
субота,de zaterdag,het lichaam,de metro
програма,het programma,de jas,het blad
пам'ять,het geheugen,het eije,de kaart
сир,de kaas,het schip,de keuken
гора,de berg,het appartement,het maanje
шкарпетка,de sok,het kamerje,het afval
яйце,de ei,het voertuig,de ijs
неділя,het zondagje,de rok,het visje
вуличка,het straatje,het geneesmiddel,de bakkerij
рік,het jaar,de maand,het bot
магазин,de winkel,de vloer,het wapen
вівторок,het dinsdagje,de kok,de dokter
світло,het licht,de muur,het schoolje
ключ,het sleutelje,het treinje,het zusje
адреса,het adres,het schoolje,de computer
субота,het zaterdagje,de strand,de raam
сонце,de zon,het melkje,de kat
кімната,de kamer,het appelje,de vis
викладач,de docent,de universiteit,de keuken
середа,het woensdagje,de vlees,het station
собака,het hondje,het dier,het theeje
батько,het vaderje,de ober,de pen
масло,de boter,de woord,het gebied
молоко,de melk,het nieuws,de vlees
офіс,de kantoor,het thema,de slager
око,het oog,de ziekenhuis,de banaan
батько,de vader,het koffieje,de ziekenhuis
автобус,de bus,de nacht,de banaan
тема,het onderwerp,de oma,de man
стіна,de muur,het wapen,de serveerster
яйце,het eije,het tijdje,het dagje
м’ясна крамниця,de slagerij,de broek,de restaurant
поїзд,de trein,het ontbijt,de park
кіт,de kat,het vrouwje,het nachtje
бабуся,het omaje,het kaasje,de thee
супермаркет,de supermarkt,het straatje,het licht
ноутбук,de laptop,het uur,het kaasje
час,het tijdje,de strand,de stoel
стілець,de stoel,het stoelje,de voorbeeld
поліцейний,de politieagent,het bloed,de soep
ліжко,het bedje,de conducteur,het bot
річка,de rivier,de nacht,het dinsdagje
туалет,de wc,het gebouw,de luchthaven
водійські права,de rijbewijs,de bed,de docent
ліжко,de bed,het busje,de strand
мати,het moederje,de boter,het licht
пекар,de bakker,de schoen,de zee
лікарня,de ziekenhuis,de sleutel,het onderwerp
сезон,het seizoen,het gesprek,het moederje
шафа,de kast,de koffie,het winkelje
сир,het kaasje,het maanje,het schip
сім'я,de familie,de telefoon,de vrouw
її,het haar,het oor,de vlees
книга,het boek,het zaterdagje,de supermarkt
вода,het waterje,het maandje,het geneesmiddel
друг,de vriend,de straat,de vader
обличчя,het gezicht,het weekje,het tasje
олівець,de potlood,de dag,de melk
окуляри,de bril,het weekje,het ongeluk
понеділок,het maandagje,de maan,het schip
п’ятниця,de vrijdag,het bloed,het uur
робота,het werk,het programma,de slager
море,de zee,de water,de serveerster
взуття,de schoen,het gebied,het vaderje
четвер,het donderdagje,het resultaat,de straat
паспорт,de paspoort,de fabriek,de ober
тиждень,het weekje,de rijbewijs,het winkelje
архітектор,de architect,het werk,de natuur
система,het systeem,de potlood,het vaderje
дідусь,het opaje,het zaterdagje,de tafel
стіл,de tafel,de apotheek,de water
район,de wijk,het banaanje,het seizoen
гроші,het geld,het keukenje,de sleutel
сусід,de buur,het gezin,de aarde
день,de dag,de klok,de week
частина,het onderdeel,het banaanje,de vader
будинок,het huis,de sok,het klimaat
парк,de park,de jas,het thema
наручний годинник,het horloge,het wcje,de slagerij
спідниця,de rok,de boot,de school
ніч,de nacht,de metro,de sok
село,de dorp,de dag,het bloed
супчик,het soepje,de telefoon,de kaart
лікар,de dokter,de park,het lichaam
банан,de banaan,de strand,de slagerij
день,het dagje,het bloed,het gereedschap
м’ясо,het vleesje,de maan,het vrijdagje
фабрика,de fabriek,de fiets,de stoel
проблема,het probleem,de architect,de zus
брат,de broer,de woensdag,het voertuig
дитина,het kind,de water,het busje
гра,het spel,de kaas,het gebied
місяць,het maandje,het eije,het koffieje
голова,het hoofd,het gebouw,de jas
ліки,het geneesmiddel,de bed,het gezin
куртка,het jasje,het sterje,de deur
бабуся,de oma,de arts,het licht
дочка,de dochter,de dorp,de buurvrouw
місто,de stad,de tas,de telefoon
риба,de vis,het dinsdagje,de broer
сніг,de sneeuw,de natuur,het haar
магазин,het winkelje,de water,het banaanje
ресторан,de restaurant,de persoon,de ziekenhuis
човен,de boot,het afval,het tasje
м'ясник,de slager,het weekje,de tuin
результат,het resultaat,het nachtje,het treinje
озеро,de meer,de trein,de sneeuw
птах,het vogelje,de rijbewijs,de deur
сумка,het tasje,het moederje,de schoen
школа,het schoolje,de tas,het uur
кухня,de keuken,de aarde,de opa
лист,het blad,de man,de ster
готель,het hotel,het schoolje,het tafelje
розмова,het gesprek,het maandagje,het boterje
тема,het thema,het soepje,het waterje
будівля,het gebouw,het hondje,het wapen
хлопець,de jongen,de opa,het bot
вогонь,het vuur,de natuur,het ongeluk
місяць,de maand,de serveerster,de vrouw
порт,de haven,het zusje,het werk
лампа,de lamp,de tablet,de man
вулиця,de straat,het theeje,het vrijdagje
природа,de natuur,het schilderij,het tafelje
метро,de metro,de fiets,de dorp
новини,het nieuws,het vogelje,het boterje
земля,de aarde,de slager,de woensdag
чай,de thee,het zondagje,het autoje
зброя,het wapen,het dier,de schilder
карта,de kaart,de bibliotheek,de zee
підлога,de vloer,het voertuig,de kaas
офіціантка,de serveerster,de kast,het cadeau
приклад,de voorbeeld,de pen,de laptop
собака,de hond,de conducteur,de laptop
вода,de water,het tafelje,het nachtje
студент,de student,de bril,de maan
година,het uur,het donderdagje,de melk
яблуко,het appelje,het bloed,de lamp
штани,de broek,het been,het nummer
жінка,de vrouw,de vader,de zus
светр,de trui,het maanje,het autoje
жінка,het vrouwje,het visje,de kaas
ключ,de sleutel,het hondje,het resultaat
м’ясо,de vlees,de hond,het winkelje
аптека,de apotheek,de slagerij,de donderdag
кафе,de café,de supermarkt,de laptop
сад,de tuin,het niveau,de tafel
аеропорт,de vliegveld,de vrouw,het afval
кава,het koffieje,het straatje,de ijs
автомобіль,het autoje,het sleutelje,het uur
книжкова шафа,de boekenkast,de plein,het geheim
велосипед,de fiets,het parkje,het maandagje
куртка,de jas,de keuken,de woensdag
морозиво,de ijs,de park,het geld
ліс,de bos,de dag,het oog
сестра,de zus,de schilder,het tasje
ручка,de pen,de tijd,de bril
п’ятниця,het vrijdagje,de boot,de deur
подруга,de vriendin,het gebouw,de dinsdag
кімната,het kamerje,het gebouw,het brood
нога,het been,het centrum,de hond
кістка,het bot,de paspoort,de boter
сонце,het zonje,de telefoon,het theeje
чай,het theeje,de vrouw,de ober
гаманець,de portemonnee,het gesprek,het tafelje
gereedство,het gereedschap,de trui,het vleesje
птах,de vogel,het boterje,de man
слово,de woord,de politieagent,de meer
пекарня,de bakkerij,de schilder,de plein
сусід,de buurman,het appelje,het weer
площа,de plein,het fietsje,de aarde
сніданок,het ontbijt,het brood,de winkel
сусідка,de buurvrouw,de tijd,de voorbeeld
музей,het museum,de restaurant,de vogel
понеділок,de maandag,de dochter,het soepje
вокзал,het station,het gesprek,de vriend
компанія,het bedrijf,het omaje,de sok
дощ,de regen,de apotheek,de conducteur
секрет,het geheim,het geheugen,de buurvrouw
дзвіночок,het klokje,het haar,de slagerij
картина,het schilderij,het appelje,de ijs
місяць,het maanje,de opa,de dag
художник,de schilder,de fabriek,het haar
масло,het boterje,het museum,de klok
бібліотека,de bibliotheek,het nieuws,het opaje
сад,het tuinje,de jongen,de leraar
сусідство,de buurt,het appelje,het kamerje
чоловік,het manje,de rijbewijs,het keukenje
неділя,de zondag,de melk,de potlood
велосипед,het fietsje,de sneeuw,het nummer
номер,het nummer,het museum,de slagerij
яблуко,de appel,de zondag,het nachtje
автобус,het busje,de lamp,het seizoen
сім’я,het gezin,het gebied,de maandag
університет,de universiteit,de haven,het maanje
поїзд,het treinje,het bedrijf,het bedje
місяць,de maan,de slager,de ster
середа,de woensdag,de hemel,de ijs
лікар,de arts,de stad,de kamer
дідусь,de opa,het appartement,de trui
кава,de koffie,het treinje,de bed
людина,de mens,het gezicht,het straatje
автомобіль,de auto,de berg,het vrouwje
дівчинка,het meisje,de week,de bed
офіціант,de ober,het omaje,het resultaat
син,de zoon,het waterje,de bibliotheek
вухо,het oor,het gebied,het station
сквер,het parkje,de koffie,het donderdagje
клімат,het klimaat,de arts,de supermarkt
четвер,de donderdag,het zusje,de universiteit
тіло,het lichaam,de kaart,het programma
банан,het banaanje,het station,de oma
кондуктор,de conducteur,het niveau,het resultaat
телефон,de telefoon,het ontbijt,de supermarkt
рівень,het niveau,de maandag,de buurman
планшет,de tablet,de zon,het fietsje
вікно,de raam,de thee,het soepje
судно,het schip,de ziekenhuis,het gebied
брат,het broerje,de slagerij,het hoofd
область,het gebied,de school,de winkel
стіл,het tafelje,de pen,het schoolje
міст,de brug,de kast,het kind
вівторок,de dinsdag,het hondje,het spel
двері,de deur,het jasje,de slager
apparteмент,het appartement,de bos,de vrijdag
центр,het centrum,het ongeluk,de thee
кухня,het keukenje,het maandagje,de familie
кров,het bloed,het gesprek,de dag
зірка,de ster,de rivier,het wcje
тварина,het dier,het haar,het nachtje
комп’ютер,de computer,de buurman,de meer
аеропорт,de luchthaven,de fiets,het melkje
суп,de soep,de dag,de lamp
вчитель,de leraar,het dinsdagje,de kast
чоловік,de man,de mens,de rijbewijs
особа,de persoon,de kamer,het dier